IDSong,F0010,F0011,F0013,F0021,F0109,F0110,F0113,F0116,F0121,F0133,F0136,F0151,F0155,F0246,F0247,F0251,F0328,F0404,F0406,F0407,F0437,F0438,F0466,F0469,F0507,F0525,F0526,F0529,F0753,F0770,F0772,F0776,F0778,F0782,F0891,F0897,F0899,F0905,F0909,F0911,F0917,F0923,F0927,F0945,F0946,F0958,F1053,F1059,F1065,F1071,F1077,F1089,F1090,F1096,F1101,F1151,F1152,F1166,F1194,F1419,F1441,F1455,F1469,F1475,F1483,F1486,F1489,F1497,F1537,F1550,F1574,ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Direction (Up),ORIGINAL-TEXTURE-Musical Layers (Mean),ORIGINAL-TEXTURE-Musical Layers (Max),ORIGINAL-TEXTURE-Musical Layers (Std),ORIGINAL-TEXTURE-ML1-Monophonic Texture (Percentage),ORIGINAL-TEXTURE-State Transitions ML1 -> ML0 (Per Sec),ORIGINAL-TEXTURE-State Transitions ML1 -> ML2 (Per Sec),ORIGINAL-TEXTURE-State Transitions ML2 -> ML3 (Per Sec),ORIGINAL-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Mean),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Mean),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Max),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Min),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Higher Notes Coverage (C4+),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Skewness),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Min),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Higher Notes Coverage (C4+),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato to Non Vibrato Notes Ratio,ORIGINAL-VAT-Probability of Creaky Voice (Skewness),VOICE-TEXTURE-State Transitions ML0 -> ML1 (Per Sec),Quadrant,Energy,Valence,Accouticness,Instrumentalness,Key,Speechiness,Loudness,Liveness,Mode,Tempo,Time_signature,Danceability
MT0000203193,116.41,2.0676,1139.3,2.7423,0.12687,1.3097,0.057997,1.4276,767.41,0.94346,5.3588,0.072678,0.55494,0.42535,0.047107,0.27233,0.77943,0.094219,3.2139,1.0723,6.1527,1.0838,0.0928,0.45975,0.065318,5.9188,1.4396,10.026,0.12189,0.31645,0.06029,0.41375,0.055941,0.60546,0.49907,0.51159,-0.07483,0.058463,0.44315,0.11401,-0.030102,0.23061,0.42501,0.41665,0.15954,0.16938,3.3697,3.4711,3.941,4.4362,4.6514,5.366,2.1348,2.3914,6.0561,15.818,13.368,167280,10.433,0.21417,-0.1673,0.83607,-0.64242,0.086128,1.1941,2.2315,0.33086,1.7888,0.0031588,0.29872,-0.48897,201.47,0.082867,1631.5,0.6,2.9095,8,1.3985,0.11699,0.26605,0.99768,2.0951,0.40967,4694.2,5504.4,3614.4,0.16605,1.0491,1.7461,19.178,2.2477,2.1231,0.36873,4671.4,226.46,2.3581,0.63113,0.15556,-0.26969,1.231,Q4,0.179,0.35,0.835,0.03,0,0.0314,-19.981,0.0928,1,130.864,4,0.507
MT0000203272,178.2,1.8304,1404.3,2.9001,0.13064,0.1754,0.13581,1.0602,528.87,0.54531,3.2875,0.047644,0.64422,0.40071,0.050165,0.2482,0.80614,0.13755,3.8387,1.2512,4.4356,0.5413,0.056483,0.27889,0.19564,4.0662,1.3083,7.8758,0.21294,0.29446,0.051463,0.42408,0.052483,0.58779,0.55688,0.47642,0.14492,-0.14448,0.45613,0.10356,0.092624,0.028,0.45671,0.39031,0.15606,0.15651,3.3051,3.5943,4.3097,4.1703,4.4163,5.2788,2.0264,2.3335,5.6859,13.845,28.769,895710,3.2383,0.18072,-0.56824,-0.66314,-0.81925,0.10546,2.3881,1.5895,0.13906,0.38773,0.007325,0.22586,-0.96778,0,0,0,0,1.7727,5,0.96631,0.33433,1.0297,3.1577,2.128,0.2113,5083.4,5947,4492.9,0.30517,0.60656,1.5,10.437,1.5,1.5,0.70711,4491.2,381.25,1.5,0.32967,0.10345,-0.40388,2.3002,Q3,0.712,0.542,0.0873,0,9,0.339,-5.465,0.0533,0,79.349,4,0.315
MT0000216849,75.881,0.72294,485.36,3.9128,0.070198,-0.2431,0.38019,0.051018,473.66,0.25287,1.6405,0.026596,0.78158,0.469,0.019226,0.40472,0.533,0.12859,2.1545,0.73631,4.3242,0.38028,0.038781,0.14787,0.34944,1.3739,0.82944,3.6804,0.1904,0.43786,0.037787,0.59294,0.034266,0.73637,0.58929,0.54783,-0.33434,-0.26089,0.53292,-0.28737,-0.33589,-0.27431,0.51577,0.54828,0.12262,0.11035,3.0284,3.1372,3.5636,3.7045,3.8503,3.9968,1.3269,1.5553,4.6385,39.982,41.804,3283300,1.9698,0.14513,-1.8718,-1.8465,-2.2848,0.12286,1.8056,0.73233,0.056459,-0.57412,0.011998,0.1727,-1.314,145.02,0.075532,1628.7,0.2,0.93185,3,0.7227,0.51255,0.76489,1.3635,0.16628,0.20027,6421.3,7530.1,5637.1,0.53682,0.71373,1,15.829,1,0,0,4593.5,423.26,1,0.5,0.15385,-1.2171,1.3308,Q2,0.98,-0.152,0.00602,3.77E-05,1,0.153,-2.04,0.33,1,100.393,4,0.275
MT0000218346,83.004,1.1957,724.37,2.9429,0.11591,0.38994,0.097763,0.43721,712.93,0.69735,4.4304,0.056243,0.6294,0.44077,0.035086,0.31535,0.59215,0.088516,2.1988,1.0061,5.2952,0.94161,0.08698,0.42873,0.098821,5.1286,1.3107,8.8208,0.15159,0.33993,0.049762,0.49145,0.045231,0.68287,0.49257,0.49809,0.062761,0.081148,0.4917,-0.0046102,-0.19874,-0.17396,0.48794,0.43471,0.17078,0.16306,3.5005,3.3495,3.7147,4.1214,4.6012,5.448,2.4694,2.3923,6.3374,28.359,26.726,588830,6.1064,0.18852,-0.8694,-0.32142,-1.9838,0.086032,1.264,1.4235,0.16029,0.3182,0.0081839,0.25585,-0.90979,117.65,0.065915,2188.7,0.5,2.9328,6,1.121,0.071236,0.066512,0.56535,1.1972,0.46085,4857.8,5892.9,3904.6,0.15991,1.0224,1.9525,19.828,2.5863,2.4593,0.49965,4356.3,311.99,1.3105,0.45076,0.17857,-0.46209,0.66542,Q4,0.773,-0.56,0.315,0,11,0.0355,-5.274,0.101,1,102.891,4,0.66
MT0000235880,116.1,1.1559,1051.6,2.1161,0.080112,0.44326,0.085126,1.5499,294.01,0.46801,3.6624,0.041492,0.62875,0.35797,0.06341,0.19956,0.77535,0.050394,2.7952,0.95773,4.9416,0.71586,0.070488,0.38503,0.072669,5.5095,1.0659,8.4782,0.14809,0.27295,0.054959,0.42013,0.045027,0.60458,0.50187,0.43543,0.10287,-0.026975,0.39484,0.14089,0.35578,-0.023777,0.4,0.37851,0.19555,0.15588,3.8659,4.2713,4.2621,4.9314,4.6919,5.6928,2.6658,3.6528,5.5209,9.958,23.299,254070,6.4675,0.11598,-0.51809,-0.78218,-1.8468,0.11843,1.4686,1.5442,0.24713,0.90462,0.0022306,0.2724,-0.99074,92.284,0.090806,965.52,0.66667,2.4701,7,1.1933,0.2185,0.13359,1.1355,2.0039,0.48264,5363.6,5749,4807.2,0.34964,1.0376,3.6537,15.332,1.8709,5.1902,1.6378,4519.8,513.91,2.0527,0.47385,0.23913,-0.89995,1.0353,Q4,0.495,-0.202,0.861,0,2,0.0318,-5.419,0.0602,0,84.027,4,0.468
MT0000249842,118.8,3.4621,1148.2,4.4479,0.14074,-0.088732,0.15198,0.88498,813.24,0.62936,3.1847,0.066251,0.65828,0.44697,0.039062,0.28046,0.63839,0.15636,2.5754,1.2533,4.7213,0.74672,0.075084,0.3774,0.17203,3.8377,1.4514,7.638,0.17193,0.35922,0.055865,0.44761,0.054097,0.715,0.54238,0.48378,0.087626,0.12668,0.39427,0.41127,0.14455,-0.19521,0.50251,0.49895,0.15243,0.13591,3.7509,3.6946,3.5491,3.8736,4.7798,4.4719,1.7545,1.9685,4.7197,34.959,32.756,1306800,4.6051,0.22505,-1.2773,-0.51413,-1.5728,0.079161,1.7527,1.2342,0.16914,0.53961,0.0081912,0.25686,-1.1056,95.953,0.084446,1247.3,0.14286,2.4058,7,1.047,0.161,0.23279,1.5298,2.3944,0.25405,4142.4,6221.8,3198.6,0.10705,0.97062,1.9969,10.477,2.8152,2.3923,0.91122,4100.2,387.51,5.7151,0.14477,0.22727,-0.58148,1.3974,Q1,0.676,-0.302,0.0408,0.452,3,0.045,-7.751,0.138,1,167.329,4,0.182
MT0000299291,110.85,4.5499,1459.5,2.3075,0.11699,0.33246,0.25885,1.6663,828.3,0.51344,2.3708,0.04885,0.69445,0.45121,0.027089,0.32779,0.73545,0.18991,2.5579,1.0616,4.2607,0.78304,0.075398,0.25188,0.23032,3.5176,1.2852,7.0392,0.19762,0.34754,0.062445,0.47673,0.060859,0.62019,0.51171,0.45061,0.13865,0.27235,0.45314,-0.015839,-0.037088,0.089474,0.45826,0.47769,0.17264,0.12766,3.4073,3.2837,3.9802,4.2681,4.5239,4.7268,2.1427,2.758,4.5272,36.543,36.763,1779700,4.0921,0.22585,-1.1225,-0.40349,-2.2092,0.092992,1.6708,0.86334,0.1009,0.70661,0.0014121,0.33002,-1.2263,71.999,0.081766,681.38,0.5,2.1454,6,0.97403,0.23803,0.23279,1.5298,1.6961,0.57801,5312.5,5695.5,4985.8,0.45255,1.1018,1.9087,13.758,2.1845,3.1345,1.235,4804.7,296.91,2.3476,0.64975,0.26667,-2.2405,1.1645,Q3,0.781,0,0.00248,0.00463,2,0.0309,-4.37,0.163,0,115.012,4,0.452
MT0000300896,121.89,3.9152,1488.6,2.5416,0.096203,1.1315,0.20493,1.7273,274.62,0.26563,2.7792,0.03335,0.68409,0.39381,0.051785,0.25316,0.82588,0.080667,2.592,0.837,5.008,0.62115,0.050146,0.30179,0.16361,4.8891,0.92862,7.8448,0.15976,0.34113,0.030093,0.54923,0.036358,0.66167,0.43551,0.40802,0.50038,0.47483,0.39331,0.185,0.29316,0.59104,0.30481,0.19923,0.16648,0.17778,3.7644,3.8483,4.6869,5.2258,6.8395,7.9992,2.8252,3.9701,7.3158,19.466,15.394,732340,3.4074,0.099711,-0.49786,-2.9433,-1.329,0.077128,1.0364,0.90608,0.14128,1.9374,0.0035419,0.24527,-1.2549,44.624,0.052305,1141.9,0.71429,2.1255,7,0.97511,0.25212,0.43233,1.6961,1.6961,0.47137,5487.4,6016.8,4645.4,0.35414,0.68338,1.701,11.995,3.1762,4.2614,1.2845,4146.8,429.51,7.0189,0.84105,0.26923,-0.70025,1.1645,Q3,0.451,0.24,0.975,1.45E-05,5,0.0348,-5.499,0.196,1,175.052,4,0.534
MT0000315392,181.84,1.6251,1919.7,2.6059,0.14457,0.88379,0.091667,1.991,997.86,0.74723,4.377,0.060859,0.64777,0.40137,0.041948,0.27414,0.7299,0.17835,2.7816,1.4132,5.5499,0.84189,0.098449,0.4453,0.14283,4.7627,1.6169,8.8747,0.15226,0.33513,0.072325,0.44483,0.073391,0.63722,0.52052,0.49144,0.0078653,0.032755,0.4572,0.085675,0.099158,0.18346,0.40314,0.418,0.17556,0.16891,3.4934,3.5126,4.0431,4.6342,4.5653,5.1945,2.2436,2.764,5.3798,25.461,24.43,838250,6.0421,0.26902,-0.28755,0.57708,-1.1329,0.087455,0.94024,1.9517,0.25369,1.2569,0.0057155,0.25724,-1.0199,161.03,0.12174,1380.1,0.375,2.0561,6,1.206,0.33436,0.49826,1.6941,1.6609,0.33911,4329.8,5004.1,3310.2,0.0169,0.74182,3.9992,11.153,2.3039,1.5366,0.0012365,4123.1,252.63,2.0821,0.15061,0.2093,-0.45281,1.3287,Q3,0.459,0.696,0.386,6.15E-05,5,0.0329,-9.876,0.11,1,120.063,4,0.805
MT0000336135,131.3,1.7093,1022.3,1.5384,0.13032,1.5275,0.039986,1.6904,734.88,1.085,6.4323,0.076612,0.52186,0.34961,0.061279,0.201,0.76018,0.073505,3.702,1.2414,7.4287,1.2777,0.093961,0.60481,0.06872,5.7921,1.8021,10.888,0.12859,0.25652,0.077102,0.4133,0.090424,0.46124,0.43243,0.41176,0.3574,0.22305,0.39126,0.14856,0.30048,0.20474,0.41514,0.41968,0.17572,0.15983,3.734,4.2641,4.5696,4.5124,4.6171,5.2285,2.5051,2.8396,5.8476,10.609,10.881,157990,8.5639,0.23927,0.64553,0.26454,-0.60549,0.07417,1.6956,2.6903,0.35836,2.2645,0.0013003,0.3261,0.26336,126.49,0.16391,1119.7,0.57143,2.4284,8,1.5967,0.24865,0.59861,1.2637,1.3967,0.38893,4277.3,5409.2,3310.6,0.026606,0.53903,1.6116,12.141,1.7537,3.8364,-1.5969,3623.6,480.36,1.5058,0,0.2,0.1167,0.66542,Q4,0.164,-0.234,0.862,0,6,0.0352,-10.989,0.237,0,128.135,4,0.627
